,Y_test,pred
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,1,1
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,1
14,0,0
15,0,1
16,0,1
17,0,0
18,1,1
19,0,0
20,0,0
21,1,1
22,0,0
23,1,1
24,0,0
25,1,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,1,0
32,1,1
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,1,1
40,0,0
41,0,0
42,0,0
43,0,0
44,1,1
45,0,0
46,0,0
47,1,1
48,0,0
49,1,1
50,1,1
51,0,0
52,0,0
53,0,1
54,1,1
55,1,1
56,0,0
57,0,0
58,1,1
59,0,0
60,0,0
61,1,1
62,0,0
63,1,1
64,0,0
65,1,1
66,0,0
67,0,0
68,0,0
69,0,1
70,1,1
71,0,0
72,0,0
73,1,1
74,0,0
75,0,0
76,0,0
77,0,0
78,1,1
79,1,1
80,1,1
81,0,1
82,0,0
83,0,0
84,1,1
85,1,0
86,0,0
87,1,1
88,1,1
89,0,0
90,0,0
91,1,1
92,0,0
93,0,0
94,0,0
95,1,1
96,0,0
97,1,1
98,1,1
99,1,1
